# object: IRC+10216
# time: Mon Jun  5 21:13:50 2017
# number of values:         1200
# wave      flux          stdev           line
      5.08428      13299.1      21.6901           5
      5.09701      13338.4      20.0969           5
      5.10976      13337.1      18.7376           5
      5.12255      13345.2      25.2562           5
      5.13538      13451.3      32.5330           5
      5.14823      13540.3      21.8150           5
      5.16112      13511.0      21.9467           5
      5.17404      13482.2      21.2579           5
      5.18699      13579.7      28.0306           5
      5.19997      13692.7      29.2433           5
      5.21299      13738.0      19.2533           5
      5.22604      13738.6      17.3470           5
      5.23912      13769.8      15.5518           5
      5.25223      13920.5      38.2418           5
      5.26538      14151.1      19.4131           5
      5.27856      14251.6      19.9258           5
      5.29177      14512.1      71.2380           5
      5.30131      15889.0      49.5043           6
      5.30502      14907.2      40.5342           5
      5.31458      15925.6      37.3369           6
      5.31830      15023.3      47.1004           5
      5.32788      16027.6      33.9174           6
      5.34122      16115.8      48.9220           6
      5.35458      16175.0      39.1024           6
      5.36799      16191.6      25.7984           6
      5.38142      16209.7      16.6648           6
      5.39490      16210.0      13.9708           6
      5.40840      16278.8      30.2560           6
      5.42194      16400.1      35.0610           6
      5.43551      16499.8      22.0475           6
      5.44911      16618.5      36.0766           6
      5.46275      16760.7      35.3051           6
      5.47643      16835.1      33.8184           6
      5.49014      16842.3      31.2859           6
      5.50388      16863.5      32.7073           6
      5.51766      16952.7      25.6256           6
      5.53147      16972.3      23.9776           6
      5.54531      16969.8      32.1724           6
      5.55919      17064.4      31.6251           6
      5.57311      17184.5      27.1638           6
      5.58706      17398.6      53.4983           6
      5.60105      17573.9      49.5105           6
      5.61507      17567.4      32.8380           6
      5.62912      17515.6      28.7261           6
      5.64321      17516.6      31.6609           6
      5.65734      17583.7      29.8236           6
      5.67150      17645.3      32.2356           6
      5.68569      17745.5      28.8564           6
      5.69993      17812.8      32.8747           6
      5.71419      17832.5      38.1390           6
      5.72850      17915.4      34.2218           6
      5.74284      18031.7      20.5252           6
      5.75721      18121.5      20.0975           6
      5.77162      18140.3      20.1384           6
      5.78607      18161.9      16.6022           6
      5.80055      18127.2      19.4465           6
      5.81507      18020.1      20.3723           6
      5.82963      18022.8      23.3552           6
      5.84422      18178.4      29.0960           6
      5.85885      18346.3      37.6373           6
      5.87351      18686.1      54.6485           6
      5.88822      18827.9      19.0828           6
      5.90296      18903.7      37.5379           6
      5.91773      19006.5      41.7633           6
      5.93254      18925.2      40.9394           6
      5.94739      18890.8      45.1261           6
      5.96228      19034.0      52.0383           6
      5.97721      19187.5      36.6459           6
      5.99217      19398.0      54.7580           6
      6.00717      19559.2      54.8377           6
      6.02220      19517.0      55.9598           6
      6.03728      19399.7      36.3006           6
      6.05239      19409.1      52.2527           6
      6.06754      19552.6      72.9182           6
      6.08273      19744.7      71.1308           6
      6.09795      19773.2      58.7321           6
      6.11322      19735.1      48.2019           6
      6.12852      19893.8      62.1979           6
      6.14386      20026.5      55.0667           6
      6.15924      20155.7      90.3907           6
      6.17466      20258.7      89.9916           6
      6.19011      20271.5      81.0247           6
      6.20561      20198.8      70.0480           6
      6.22114      20080.6      52.4872           6
      6.23671      20219.9      68.0577           6
      6.25232      20413.7      42.5294           6
      6.26797      20439.1      42.5055           6
      6.28366      20460.1      64.0005           6
      6.29939      20394.2      86.1801           6
      6.31516      20317.2      83.2406           6
      6.33097      20395.9      89.7880           6
      6.34682      20514.4      100.598           6
      6.36270      20657.4      106.328           6
      6.37863      20776.7      89.8399           6
      6.39460      20737.3      110.031           6
      6.41060      20727.1      62.8768           6
      6.42665      20674.6      53.0239           6
      6.44274      20639.4      53.6252           6
      6.45886      20683.9      46.9576           6
      6.47503      20750.5      28.7394           6
      6.49124      20810.2      35.6694           6
      6.50749      20831.0      40.7506           6
      6.52378      20839.1      37.8440           6
      6.54011      20941.2      59.2398           6
      6.55648      21198.0      55.7125           6
      6.57289      21177.0      63.6339           6
      6.58934      20876.0      55.3494           6
      6.60583      20786.3      31.3162           6
      6.62237      20913.4      32.9823           6
      6.63895      21089.5      38.2195           6
      6.65556      21188.0      39.3948           6
      6.67222      21207.9      39.9477           6
      6.68893      21180.5      49.1001           6
      6.70567      21106.2      53.4132           6
      6.72245      20891.8      52.5892           6
      6.73928      20733.4      42.8305           6
      6.75615      20725.4      37.3635           6
      6.77306      20875.7      44.3955           6
      6.79002      21046.8      35.4436           6
      6.80701      21230.4      65.8927           6
      6.82405      21404.0      60.3269           6
      6.84113      21361.7      49.7072           6
      6.85826      21276.5      57.9647           6
      6.87542      21307.9      66.6441           6
      6.89263      21520.4      99.1773           6
      6.90989      21779.2      120.993           6
      6.92718      21875.2      107.185           6
      6.94452      21790.5      115.520           6
      6.96191      21366.8      153.906           6
      6.97933      20986.4      172.908           6
      6.99680      21052.9      155.726           6
      7.00162      23060.8      76.5267           7
      7.01432      21295.3      177.944           6
      7.01915      23123.1      61.1285           7
      7.03187      21380.2      210.458           6
      7.03672      23241.4      70.1507           7
      7.04948      21370.2      279.681           6
      7.05433      23242.6      85.3947           7
      7.07199      23287.8      81.3247           7
      7.08969      23349.6      74.9419           7
      7.10744      23306.9      48.3682           7
